date,coin,high,low,open,close,volume,quoteVolume,weightedAverage
1643692500,reversed_TUSD,2.5947128573989923e-05,2.593555377983464e-05,2.593555377983464e-05,2.5935607592182284e-05,3118586.8,80.891594,2.5938547430968443e-05
1643692800,reversed_TUSD,2.593824467079309e-05,2.59232030294892e-05,2.5935607592182284e-05,2.593824467079309e-05,3479240.08,90.221151,2.593128313693844e-05
1643693100,reversed_TUSD,2.5971705385285053e-05,2.5938937665620118e-05,2.5938937665620118e-05,2.596956055867796e-05,3397640.93,88.195369,2.595783098440921e-05
1643693400,reversed_TUSD,2.5969695442993664e-05,2.591595404272038e-05,2.5969695442993664e-05,2.591995761568531e-05,7137800.48,185.147434,2.5939004948643363e-05
1643693700,reversed_TUSD,2.591995761568531e-05,2.5908903776145e-05,2.591995761568531e-05,2.5917035422885676e-05,6330683.68,164.079032,2.5918063153507765e-05
1643694000,reversed_TUSD,2.5911709994068813e-05,2.5895780360277636e-05,2.5911709994068813e-05,2.590844060723167e-05,4997410.31,129.460476,2.590551429958484e-05
1643694300,reversed_TUSD,2.594076788823472e-05,2.5882683630522617e-05,2.590066318648089e-05,2.5915215263439823e-05,5022567.85,130.122749,2.5907614999369147e-05
1643694600,reversed_TUSD,2.593266841971505e-05,2.5913133475700088e-05,2.5914160896878743e-05,2.5929044133566727e-05,5288314.95,137.107545,2.592650975251591e-05
1643694900,reversed_TUSD,2.6002635627147168e-05,2.5929044133566727e-05,2.5929044133566727e-05,2.6002635627147168e-05,4116824.27,106.847585,2.5953889800302985e-05
1643695200,reversed_TUSD,2.6040635891495965e-05,2.598333948272368e-05,2.60042314085348e-05,2.6040635891495965e-05,8072929.51,210.001711,2.601307937631041e-05
1643695500,reversed_TUSD,2.608432540717632e-05,2.603085437168676e-05,2.6035340892434205e-05,2.60780400996807e-05,8423804.85,219.48109,2.605487051511e-05
1643695800,reversed_TUSD,2.611336962743533e-05,2.6077897286985955e-05,2.608078104636615e-05,2.6108113174493318e-05,3962003.32,103.367736,2.608976967951327e-05
